id,name,sport_type,start_date_local,distance,moving_time,elapsed_time,average_heartrate,max_heartrate
17846112729,Afternoon Run,Run,2026-03-24T16:16:03Z,12780.4,4230,4339,,
17835448942,Climb at Vital LES,RockClimbing,2026-03-24T00:10:00Z,0.0,7810,7810,,
17821805735,Afternoon Run,Run,2026-03-22T16:39:16Z,10651.2,3684,3798,,
17809059032,Climb at Vital BK,RockClimbing,2026-03-21T19:41:00Z,0.0,4260,4260,,
17809050522,Climb at Vital LES,RockClimbing,2026-03-20T22:36:51Z,0.0,5400,5400,,
17795675527,Afternoon Run,Run,2026-03-20T16:32:42Z,7864.5,2800,2903,,
17784968434,Afternoon Run,Run,2026-03-19T17:56:53Z,7047.5,2213,2216,,
17774128909,Bouldering Session,RockClimbing,2026-03-18T20:26:33Z,408.4,373,4221,90.1,151.0
17762037412,Sunset Ride,Ride,2026-03-17T18:53:04Z,18723.7,2817,2890,126.8,158.0
17749570860,Bouldering Session,RockClimbing,2026-03-16T18:57:03Z,646.9,545,7221,102.4,158.0
17748482252,Afternoon Ride,Ride,2026-03-16T16:43:14Z,6645.5,1262,1819,109.6,130.0
17738046182,Sunday Evening Run,Run,2026-03-15T18:27:53Z,6208.5,2076,2388,140.5,166.0
17738290564,Afternoon Ride,Ride,2026-03-15T17:06:38Z,32146.3,4491,4616,124.4,146.0
17731608736,Frisbee Tossing,Workout,2026-03-14T15:45:39Z,0.0,12004,12004,116.8,163.0
17708672754,Bouldering Session,RockClimbing,2026-03-12T20:26:40Z,355.9,311,4175,110.7,168.0
17703815718,Afternoon Ride,Ride,2026-03-12T15:54:54Z,64805.2,8955,11955,133.4,161.0
17704085804,Bouldering Session,RockClimbing,2026-03-11T19:34:56Z,515.1,362,5623,106.6,163.0
17692274490,Wednesday Evening Run,Run,2026-03-11T18:28:35Z,3194.3,1214,1227,121.2,133.0
17680671124,RAAAAA,Ride,2026-03-10T17:47:17Z,38863.2,4691,4691,140.7,158.0
17667998949,Bouldering Session,RockClimbing,2026-03-09T20:24:27Z,231.2,226,2389,110.7,161.0
17667480649,Monday Evening Run,Run,2026-03-09T17:35:32Z,14020.6,5100,5159,134.6,153.0
17642178260,Saturday Afternoon Run,Run,2026-03-07T15:45:13Z,4053.8,1490,1514,150.9,167.0
17642008886,Afternoon Ride,Ride,2026-03-07T13:31:52Z,38256.4,6231,7647,139.6,181.0
17640718130,Bouldering Session,RockClimbing,2026-03-06T20:41:09Z,617.9,451,7065,107.8,166.0
17631137899,Afternoon Ride - turkey in tree before gta6,Ride,2026-03-06T17:18:19Z,31334.0,4177,4177,137.0,154.0
17620897998,Thursday Evening Run,Run,2026-03-05T20:39:41Z,6473.8,2260,2306,136.9,149.0
17614453111,Bouldering Session - too pumped,RockClimbing,2026-03-04T19:47:58Z,487.7,349,4840,97.0,159.0
17596089395,Tuesday Evening Run 🌁🌆,Run,2026-03-03T17:38:00Z,12882.0,4613,4695,133.2,150.0
17571921763,Evening Ride,Ride,2026-03-01T19:29:39Z,3659.5,607,607,,
17559798271,Saturday Evening Run,Run,2026-02-28T19:28:38Z,5049.9,1921,1921,147.4,168.0
17559454811,In n Out Ride,Ride,2026-02-28T15:19:16Z,58407.9,8087,10099,143.9,164.0
17547369540,Afternoon Ride,Ride,2026-02-27T13:07:17Z,30257.4,4048,4163,144.3,173.0
17538166485,Thursday Night Run,Run,2026-02-26T22:32:19Z,6502.3,2390,2448,129.1,152.0
17555748968,Bouldering Session,RockClimbing,2026-02-26T19:15:59Z,473.2,288,5856,107.6,166.0
17538706761,Bouldering Session,RockClimbing,2026-02-24T19:53:15Z,613.2,806,5368,113.7,168.0
17538706757,Bouldering Session,RockClimbing,2026-02-19T19:32:41Z,538.6,403,5363,110.8,164.0
17538706751,Bouldering Session,RockClimbing,2026-02-19T19:32:41Z,580.6,524,5363,112.6,164.0
17447226285,Wednesday Night Run,Run,2026-02-18T22:21:20Z,11283.7,4069,4136,135.2,161.0
17489281469,Bouldering Session,RockClimbing,2026-02-17T20:10:08Z,370.3,487,3218,100.4,169.0
17435699112,Bouldering Session,RockClimbing,2026-02-16T20:27:55Z,468.5,492,4277,112.5,168.0
17435699110,Bouldering Session,RockClimbing,2026-02-16T20:27:55Z,468.5,492,4277,112.5,168.0
17422944896,Monday Evening Run,Run,2026-02-16T17:28:35Z,7308.7,2724,2919,139.8,161.0
17410887244,Lunch Ride,Ride,2026-02-15T11:22:24Z,33847.4,4938,5195,142.7,168.0
17410812839,Saturday Night Run,Run,2026-02-14T23:53:28Z,5025.9,1722,1746,145.9,164.0
17435698883,Bouldering Session,RockClimbing,2026-02-12T19:51:14Z,979.9,860,10656,102.6,178.0
17378637866,Thursday Afternoon Run,Run,2026-02-12T14:17:17Z,4998.9,1874,2347,138.9,158.0
17347154440,Monday Night Run,Run,2026-02-09T22:12:15Z,5158.1,1443,1449,156.1,185.0
17323641766,Saturday Evening Run,Run,2026-02-07T17:08:31Z,11286.5,4485,4646,143.6,169.0
17320862354,Morning Ride,Ride,2026-02-07T09:42:38Z,3056.9,376,914,106.9,121.0
17312388098,Mini bike packing trip,Ride,2026-02-06T16:07:04Z,12368.6,4518,4833,111.4,136.0
17379234845,Bouldering Session,RockClimbing,2026-02-04T20:00:46Z,170.0,99,1788,115.1,166.0
17379234844,Bouldering Session,RockClimbing,2026-02-04T20:00:46Z,182.3,139,1788,115.9,166.0
17279884236,Tuesday Evening Run,Run,2026-02-03T20:50:13Z,6130.7,2168,2227,143.4,157.0
17279749593,Evening Ride,Ride,2026-02-03T20:05:38Z,16152.0,2205,2329,145.0,162.0
17256047843,Sunday Afternoon Run,Run,2026-02-01T16:54:12Z,5492.6,2033,2238,137.1,155.0
17255278001,Afternoon Walk,Walk,2026-02-01T13:56:36Z,3606.3,2896,3170,81.8,113.0
17244669648,"Bouldering Session - get in, find soft v8, get out",RockClimbing,2026-01-31T17:24:33Z,251.6,193,2763,99.6,142.0
17233526605,Friday Evening Run,Run,2026-01-30T18:19:52Z,9972.7,3388,3427,152.3,167.0
17225330373,Bouldering Session,RockClimbing,2026-01-29T19:51:27Z,771.8,579,7714,115.8,162.0
17212891831,Wednesday Evening Run,Run,2026-01-28T17:49:45Z,6871.9,2589,8081,130.6,154.0
17140776210,Thursday Morning Run,Run,2026-01-22T08:29:08Z,6157.0,2134,2215,144.4,164.0
17133852666,Wednesday Afternoon Weight Training,WeightTraining,2026-01-21T16:01:07Z,0.0,2702,2702,104.5,155.0
17123383277,Tuesday Evening Walk,Walk,2026-01-20T19:35:49Z,3289.7,2648,2746,84.3,105.0
17117434911,Broken 600s,Run,2026-01-20T08:30:32Z,5080.3,1898,1920,141.7,164.0
17111488113,Bouldering Session - First time getting 2 V8 in 1 session,RockClimbing,2026-01-19T19:04:14Z,670.2,561,7170,114.0,166.0
17110830849,Monday Evening Walk,Walk,2026-01-19T17:40:12Z,3355.0,2318,2318,94.0,134.0
17109901276,Monday Afternoon Weight Training,WeightTraining,2026-01-19T15:02:11Z,0.0,3153,3153,102.3,148.0
17087043607,Saturday Afternoon Run,Run,2026-01-17T15:28:38Z,9677.4,3683,3687,142.9,166.0
17076537135,Bouldering Session,RockClimbing,2026-01-16T20:36:32Z,324.5,275,3003,102.2,154.0
17075957876,Afternoon Walk,Walk,2026-01-16T17:32:35Z,3382.3,2513,3500,82.5,98.0
17066241321,Thursday Night Run,Run,2026-01-15T21:58:38Z,3052.4,1002,1016,104.0,146.0
17064590144,Afternoon Walk,Walk,2026-01-15T14:50:21Z,5301.2,3856,4717,103.5,125.0
17062704642,Thursday Morning XC Ski,NordicSki,2026-01-15T09:40:10Z,10968.6,7698,11108,114.7,149.0
17029287599,Monday Afternoon Run,Run,2026-01-12T15:38:36Z,8057.7,3150,3206,141.4,169.0
17028655346,Monday Afternoon Walk,Walk,2026-01-12T13:28:29Z,5321.5,4022,7446,92.3,123.0
17027436447,Sunday Evening Elliptical,Elliptical,2026-01-11T20:07:21Z,0.0,1202,1202,115.9,135.0
17016960383,Lunch Walk,Walk,2026-01-11T12:30:14Z,3091.9,2427,2658,83.7,99.0
17006839469,Saturday Afternoon Weight Training,WeightTraining,2026-01-10T16:57:23Z,0.0,1331,1331,110.4,138.0
17014445947,Bouldering Session,RockClimbing,2026-01-10T15:29:46Z,200.2,161,1794,94.8,141.0
16993824135,Friday Afternoon Run,Run,2026-01-09T13:27:05Z,3381.3,1281,1389,119.3,135.0
17014445960,Bouldering Session,RockClimbing,2026-01-08T16:27:39Z,206.1,200,1794,109.7,161.0
16974646469,Wednesday Afternoon Run,Run,2026-01-07T16:26:20Z,7173.8,2626,2696,138.9,170.0
16952714612,Monday Night Cycle,Ride,2026-01-05T22:12:18Z,5817.3,1145,1230,98.2,142.0
17014445964,Bouldering Session,RockClimbing,2026-01-05T19:31:27Z,237.8,285,1794,92.0,175.0
16941384821,Sunday Evening Run w kath,Run,2026-01-04T20:04:03Z,4284.9,1676,1703,125.4,142.0
16959230074,Afternoon Walk,Walk,2026-01-04T15:26:57Z,3528.6,2355,2910,85.7,106.0
17014445962,Bouldering Session,RockClimbing,2026-01-03T17:59:32Z,228.5,330,1794,106.0,154.0
16929985982,Friday Afternoon Run,Run,2026-01-02T12:30:30Z,2066.1,669,953,139.8,150.0
16908887621,Bouldering Session,RockClimbing,2026-01-01T12:44:24Z,605.7,755,5158,100.1,160.0
16898540603,Wednesday Afternoon Run,Run,2025-12-31T12:27:31Z,4181.3,1430,3487,144.4,158.0
16926300497,Bouldering Session,RockClimbing,2025-12-30T14:09:16Z,227.0,213,1794,114.8,165.0
16877366299,Monday Morning Run,Run,2025-12-29T11:30:10Z,3535.3,1407,1682,136.7,152.0
16908887635,Bouldering Session,RockClimbing,2025-12-26T10:37:39Z,1614.6,1884,13868,92.9,161.0
16833821813,Afternoon Run,Run,2025-12-24T23:06:00Z,6437.4,2400,2400,,
16926300501,Bouldering Session,RockClimbing,2025-12-23T20:40:51Z,189.5,169,1793,111.6,155.0
16926300491,Bouldering Session,RockClimbing,2025-12-19T18:38:12Z,175.8,161,1794,113.0,153.0
16788107481,Lunch Ride,Ride,2025-12-19T12:47:40Z,23999.4,3648,3881,146.2,173.0
16773185154,Afternoon Ride,Ride,2025-12-17T14:43:33Z,54841.4,8698,10739,143.7,182.0
16753888672,Bouldering Session,RockClimbing,2025-12-15T16:55:39Z,113.5,138,888,110.0,149.0
16745807784,Sunday Evening Run,Run,2025-12-14T20:31:46Z,3385.5,1374,1554,132.5,160.0
16719525438,Random run 2.4 then home,Run,2025-12-11T22:45:52Z,4386.2,1686,1743,140.4,158.0
16708062775,Random walk with Kath,Walk,2025-12-10T13:32:47Z,4229.9,3540,4013,,
16700515854,Random walk,Walk,2025-12-09T21:58:37Z,1231.5,873,888,,
16690483362,Monday Evening Run,Run,2025-12-08T20:17:19Z,4385.7,1680,1799,139.2,151.0
16744338170,Bouldering Session,RockClimbing,2025-12-08T18:25:13Z,240.1,289,2235,124.1,158.0
16671064815,Afternoon Run,Run,2025-12-06T17:10:58Z,3730.8,1764,1881,,
16613477345,Sunday Morning Run,Run,2025-11-30T10:54:33Z,4760.5,1822,1902,143.3,171.0
16604078277,Saturday Morning Hike,Hike,2025-11-29T11:37:52Z,5496.2,4706,5460,94.5,155.0
16557921213,Monday Afternoon Run,Run,2025-11-24T16:54:36Z,3088.2,1163,1187,129.5,156.0
16539610482,Saturday Afternoon Hike with kath,Hike,2025-11-22T14:48:27Z,6471.1,4963,6761,89.9,115.0
16528918557,Friday Afternoon walk jog,Run,2025-11-21T16:20:23Z,4897.7,2242,2633,110.6,152.0
16511798199,Wednesday Night Run,Run,2025-11-19T22:30:05Z,2998.6,1080,1096,141.4,160.0
16501575752,Tuesday Evening Run,Run,2025-11-18T20:34:39Z,3233.3,1354,1433,117.6,137.0
16480887790,Sunday Afternoon Run,Run,2025-11-16T16:42:02Z,3266.9,1267,1331,122.6,142.0
16389667771,Bouldering Session,RockClimbing,2025-11-05T20:48:37Z,201.2,176,1794,134.3,172.0
16337655359,Afternoon Ride,Ride,2025-11-02T16:55:12Z,12813.3,2314,2525,144.2,168.0
16595329018,Bouldering Session,RockClimbing,2025-10-30T20:47:56Z,214.8,147,1793,95.0,146.0
16595329017,Bouldering Session,RockClimbing,2025-10-30T20:47:56Z,219.9,280,1793,98.4,146.0
16278037287,Afternoon Ride,Ride,2025-10-27T17:24:10Z,19227.4,3633,3976,141.6,172.0
16140674106,Bouldering Session,RockClimbing,2025-10-11T10:28:51Z,748.7,717,7192,113.8,170.0
16140674017,Bouldering Session,RockClimbing,2025-10-11T10:28:51Z,748.7,717,7192,113.8,170.0
16122074573,"Another Dyno V8, overhang",RockClimbing,2025-10-08T21:07:18Z,294.0,255,2569,124.2,174.0
16122074152,Bouldering Session,RockClimbing,2025-10-05T11:04:05Z,203.8,246,1786,125.5,159.0
16122074626,Bouldering Session,RockClimbing,2025-10-02T18:50:38Z,406.1,319,4055,96.7,152.0
16011901099,V8 👑,RockClimbing,2025-09-29T20:34:11Z,200.7,200,1793,96.0,147.0
15959485142,I ate burrito,Ride,2025-09-27T16:38:59Z,20510.4,3629,6713,128.8,166.0
15926749692,Flat tire!!!! WHY?!?! 🌈,Ride,2025-09-24T15:12:32Z,13238.6,1801,4516,137.1,163.0
15893802611,❤️ 🧭 Ride,Ride,2025-09-21T16:32:04Z,7884.6,1327,1389,,
15880333075,Morning Ride,Ride,2025-09-20T07:32:54Z,19310.1,2750,2832,151.6,175.0
15861293045,Bouldering Session,RockClimbing,2025-09-10T20:52:04Z,204.4,153,2184,94.1,164.0
15747949946,Bouldering Session,RockClimbing,2025-09-08T20:30:20Z,568.1,299,5151,108.2,165.0
15666244776,Monday Afternoon Hike,Hike,2025-09-01T16:58:25Z,9658.4,8221,10084,98.8,138.0
15643222892,Afternoon Ride got too hot,Ride,2025-08-30T15:42:47Z,29605.0,4696,5799,146.6,185.0
15641960414,Saturday Morning Hike,Hike,2025-08-30T10:05:17Z,3754.9,3410,3624,108.9,153.0
15582911055,Bouldering Session - very messy V6,RockClimbing,2025-08-24T19:02:40Z,531.7,198,6458,124.6,171.0
15575701608,Afternoon Ride - Mt. Tam peeking out behind me,Ride,2025-08-24T15:10:16Z,37069.9,5773,6278,147.9,187.0
15551227864,Afternoon Walk,Walk,2025-08-22T14:10:56Z,3878.5,3216,3373,87.3,110.0
15576619145,Bouldering Session,RockClimbing,2025-08-21T19:07:12Z,576.2,513,5442,112.0,159.0
15537184572,3 year climbing summary,RockClimbing,2025-08-18T14:54:20Z,561.5,709,4633,110.4,162.0
15506241034,Bouldering Session,RockClimbing,2025-08-16T10:22:17Z,171.8,106,1704,112.9,145.0
15506241033,Bouldering Session,RockClimbing,2025-08-16T10:22:17Z,171.7,191,1704,111.9,145.0
15481076390,Evening Walk,Walk,2025-08-15T19:09:34Z,3241.6,2444,2444,94.6,115.0
15462995181,Bouldering Session,RockClimbing,2025-08-13T14:57:26Z,449.7,584,3193,104.3,160.0
15436204988,Morning Ride,Ride,2025-08-12T09:29:44Z,38400.5,5801,6973,153.5,182.0
15426521629,Afternoon Weight Training,WeightTraining,2025-08-11T22:43:52Z,0.0,1800,1800,,
15423666118,My 5th V8 complete. Benchmark Sunday session.,RockClimbing,2025-08-10T13:16:55Z,645.4,667,5389,103.9,157.0
15436157324,Evening Ride,Ride,2025-08-09T19:45:41Z,3827.3,673,802,,
15415467510,Bouldering Session,RockClimbing,2025-08-09T16:18:36Z,468.3,518,4061,105.3,157.0
15403530764,Saturday Morning Hike,Hike,2025-08-09T11:56:08Z,4542.4,3803,3936,101.2,145.0
15394064752,Evening Walk,Walk,2025-08-08T19:31:05Z,3232.3,2365,2868,85.7,129.0
15383616018,Evening Walk,Walk,2025-08-07T18:33:56Z,4837.7,4214,7539,99.1,133.0
